event_ts,feature_key,scope,oblast,value_bool
2022-07-17T05:42:24+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-17T15:37:49+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-18T15:46:49+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-19T04:21:03+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-19T12:19:29+00:00,mass_attack_active,national,,true
2022-07-19T16:14:33+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-21T03:56:36+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-22T15:42:44+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-23T04:26:01+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-24T07:21:55+00:00,mass_attack_active,oblast,khmelnytskyi,true
2022-07-26T04:46:03+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-26T12:12:51+00:00,mass_attack_active,oblast,lviv,true
2022-07-27T04:47:50+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-28T15:57:36+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-30T05:30:49+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-30T17:21:28+00:00,mass_attack_active,oblast,donetsk,true
2022-07-31T04:20:16+00:00,mass_attack_active,oblast,cherkasy,true
2022-08-01T04:49:42+00:00,mass_attack_active,oblast,kharkiv,true
2022-08-02T16:52:59+00:00,mass_attack_active,oblast,lviv,true
2022-08-02T16:52:59+00:00,tu_95_takeoff,national,,false
2022-08-03T04:26:22+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-03T15:47:59+00:00,mass_attack_active,oblast,cherkasy,true
2022-08-04T15:36:47+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-05T04:10:34+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-06T04:26:10+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-06T15:30:01+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-07T15:58:46+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-07T19:54:21+00:00,mass_attack_active,oblast,vinnytsia,true
2022-08-08T04:08:49+00:00,mass_attack_active,oblast,cherkasy,true
2022-08-08T10:12:56+00:00,mig_31_airborne,national,,true
2022-08-10T04:06:01+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-12T04:35:49+00:00,mass_attack_active,oblast,cherkasy,true
2022-08-13T04:38:37+00:00,mass_attack_active,oblast,cherkasy,true
2022-08-13T15:28:21+00:00,mass_attack_active,oblast,cherkasy,true
2022-08-14T05:07:30+00:00,mass_attack_active,oblast,donetsk,true
2022-08-16T04:33:05+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-16T16:41:05+00:00,mass_attack_active,oblast,cherkasy,true
2022-08-18T05:50:40+00:00,mass_attack_active,oblast,donetsk,true
2022-08-19T15:58:41+00:00,mass_attack_active,oblast,chernihiv,true
2022-08-25T09:33:56+00:00,tu_95_takeoff,national,,true
2022-09-06T06:44:02+00:00,tu_95_takeoff,national,,false
2022-09-09T05:46:11+00:00,mass_attack_active,oblast,donetsk,true
2022-09-11T19:54:22+00:00,mass_attack_active,national,,true
2022-09-12T08:30:54+00:00,mass_attack_active,national,,true
2022-09-14T12:38:08+00:00,mass_attack_active,national,,true
2022-09-25T15:22:06+00:00,mass_attack_active,oblast,vinnytsia,true
2022-09-28T19:06:21+00:00,mass_attack_active,oblast,dnipropetrovsk,true
2022-10-09T08:58:48+00:00,mass_attack_active,oblast,zaporizhzhia,true
2022-10-10T07:59:40+00:00,mass_attack_active,national,,true
2022-10-10T09:35:15+00:00,mass_attack_active,national,,true
2022-10-10T09:35:23+00:00,mass_attack_active,national,,true
2022-10-10T09:35:23+00:00,tu_95_takeoff,national,,true
2022-10-10T16:39:00+00:00,mass_attack_active,national,,true
2022-10-10T17:17:35+00:00,mass_attack_active,oblast,kherson,true
2022-10-10T18:12:22+00:00,mass_attack_active,national,,true
2022-10-11T07:32:14+00:00,tu_95_takeoff,national,,true
2022-10-11T11:46:56+00:00,mass_attack_active,national,,true
2022-10-11T11:46:56+00:00,tu_95_takeoff,national,,true
2022-10-12T20:22:29+00:00,mass_attack_active,oblast,vinnytsia,true
2022-10-14T07:31:15+00:00,mass_attack_active,national,,true
2022-10-22T08:35:51+00:00,mass_attack_active,national,,true
2022-10-22T08:35:51+00:00,tu_95_takeoff,national,,true
2022-10-31T08:03:31+00:00,tu_95_takeoff,national,,false
2022-10-31T12:58:46+00:00,mass_attack_active,national,,true
2022-11-15T17:34:37+00:00,mass_attack_active,national,,true
2022-11-15T17:34:37+00:00,tu_95_takeoff,national,,false
2022-11-17T12:40:52+00:00,tu_95_takeoff,national,,false
2022-11-23T15:16:48+00:00,mass_attack_active,national,,true
