pr_auc,roc_auc,f1_macro,n_pos,n,pos_rate,oblast,oblast_id,horizon,threshold,active
,,,0,4201,0.0,Crimea,4,6,0.5800000000000001,False
0.6383137052262684,0.5914120627429207,0.40276763722235337,2400,4201,0.5712925791740417,Dnipropetrovsk,5,1,0.6,True
0.5839518529804157,0.5220464325374792,0.3699600292273763,2400,4201,0.5712925791740417,Dnipropetrovsk,5,2,0.59,True
0.5840878029539258,0.5272515269294836,0.37066085233168405,2400,4201,0.5712925791740417,Dnipropetrovsk,5,3,0.59,True
0.5853455933338523,0.5248831667592079,0.36915677495046895,2400,4201,0.5712925791740417,Dnipropetrovsk,5,4,0.55,True
0.5825643970553247,0.5230024395107284,0.36724685355552744,2399,4201,0.5710545182228088,Dnipropetrovsk,5,5,0.55,True
0.5833237277516671,0.521132093977374,0.36905710807696984,2399,4201,0.5710545182228088,Dnipropetrovsk,5,6,0.5800000000000001,True
0.4231870906769625,0.5724848758428415,0.26916374189039305,1419,4201,0.33777672052383423,Donetsk,6,1,0.6,True
0.29646335971625637,0.42877067871634267,0.25625384842392046,1419,4201,0.33777672052383423,Donetsk,6,2,0.59,True
0.28967433354741906,0.41484010061085164,0.2565207061512369,1418,4201,0.3375386893749237,Donetsk,6,3,0.59,True
0.2945182837927055,0.42552589045985123,0.2537057183686618,1417,4201,0.3373006284236908,Donetsk,6,4,0.55,True
0.30080796465836523,0.44001942407367967,0.2528992737876945,1416,4201,0.3370625972747803,Donetsk,6,5,0.55,True
0.30544041508677106,0.45362045968617193,0.2528992737876945,1416,4201,0.3370625972747803,Donetsk,6,6,0.5800000000000001,True
0.26643365757614484,0.8003599920001778,0.642031414207402,110,4201,0.026184242218732834,Ivano-Frankivsk,7,1,0.6,True
0.045905368889095806,0.6513721917290728,0.5022291782723647,110,4201,0.026184242218732834,Ivano-Frankivsk,7,2,0.59,True
0.04034303560477451,0.6148763360814204,0.5000763668494785,110,4201,0.026184242218732834,Ivano-Frankivsk,7,3,0.59,True
0.0335430928074843,0.5910868647363392,0.49220355372899793,110,4201,0.026184242218732834,Ivano-Frankivsk,7,4,0.55,True
0.029242806579273046,0.5604764338570254,0.4930614215035598,110,4201,0.026184242218732834,Ivano-Frankivsk,7,5,0.55,True
0.027227228437176933,0.5385058109819781,0.4933671008200675,110,4201,0.026184242218732834,Ivano-Frankivsk,7,6,0.5800000000000001,True
